Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_severity,Experiment,Group,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR19173179,RNA-Seq,300,7384520100,PRJNA837285,SAMN28196107,3011480993,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",severe_and_icu,SRX15238784,acute,Illumina HiSeq 4000,GSM6133496,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:54:00Z,1,GSM6133496,PBMC,SRP374816
SRR19173180,RNA-Seq,300,5937486000,PRJNA837285,SAMN28196108,2483831265,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",severe_and_icu,SRX15238783,acute,Illumina HiSeq 4000,GSM6133495,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:50:00Z,1,GSM6133495,PBMC,SRP374816
SRR19173181,RNA-Seq,300,4738538400,PRJNA837285,SAMN28196109,1963264174,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",severe,SRX15238782,acute,Illumina HiSeq 4000,GSM6133494,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:45:00Z,1,GSM6133494,PBMC,SRP374816
SRR19173182,RNA-Seq,300,5076567900,PRJNA837285,SAMN28196110,2151022750,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",severe,SRX15238781,acute,Illumina HiSeq 4000,GSM6133493,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:50:00Z,1,GSM6133493,PBMC,SRP374816
SRR19173183,RNA-Seq,300,5926582500,PRJNA837285,SAMN28196111,2426283000,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",severe_and_icu,SRX15238780,acute,Illumina HiSeq 4000,GSM6133492,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:47:00Z,1,GSM6133492,PBMC,SRP374816
SRR19173184,RNA-Seq,300,4316432400,PRJNA837285,SAMN28196112,1843837224,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",severe_and_icu,SRX15238779,acute,Illumina HiSeq 4000,GSM6133491,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:49:00Z,1,GSM6133491,PBMC,SRP374816
SRR19173185,RNA-Seq,300,5833792800,PRJNA837285,SAMN28196113,2379415122,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",severe_and_icu,SRX15238778,acute,Illumina HiSeq 4000,GSM6133490,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:56:00Z,1,GSM6133490,PBMC,SRP374816
SRR19173186,RNA-Seq,300,5320242300,PRJNA837285,SAMN28196114,2175381276,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",severe_and_icu,SRX15238777,acute,Illumina HiSeq 4000,GSM6133489,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:51:00Z,1,GSM6133489,PBMC,SRP374816
SRR19173187,RNA-Seq,300,3926607900,PRJNA837285,SAMN28196075,1679523043,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",severe,SRX15238776,convalescent,Illumina HiSeq 4000,GSM6133528,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:48:00Z,1,GSM6133528,PBMC,SRP374816
SRR19173188,RNA-Seq,300,4945073100,PRJNA837285,SAMN28196076,2107800298,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",severe,SRX15238775,convalescent,Illumina HiSeq 4000,GSM6133527,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:48:00Z,1,GSM6133527,PBMC,SRP374816
SRR19173189,RNA-Seq,300,4100274000,PRJNA837285,SAMN28196077,1736423221,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",severe_and_icu,SRX15238774,convalescent,Illumina HiSeq 4000,GSM6133526,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:43:00Z,1,GSM6133526,PBMC,SRP374816
SRR19173190,RNA-Seq,300,4194192900,PRJNA837285,SAMN28196078,1775381766,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",moderate,SRX15238773,convalescent,Illumina HiSeq 4000,GSM6133525,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:46:00Z,1,GSM6133525,PBMC,SRP374816
SRR19173191,RNA-Seq,300,4975890900,PRJNA837285,SAMN28196079,2099900807,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",severe_and_icu,SRX15238772,convalescent,Illumina HiSeq 4000,GSM6133524,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:51:00Z,1,GSM6133524,PBMC,SRP374816
SRR19173192,RNA-Seq,300,6029440800,PRJNA837285,SAMN28196080,2476754752,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",mild,SRX15238771,acute,Illumina HiSeq 4000,GSM6133523,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:48:00Z,1,GSM6133523,PBMC,SRP374816
SRR19173193,RNA-Seq,300,5957486700,PRJNA837285,SAMN28196081,2447808026,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",severe_and_icu,SRX15238770,acute,Illumina HiSeq 4000,GSM6133522,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:52:00Z,1,GSM6133522,PBMC,SRP374816
SRR19173194,RNA-Seq,300,6855000000,PRJNA837285,SAMN28196082,2796093793,SINGAPORE IMMUNOLOGY NETWORK (SIGN),public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",moderate,SRX15238769,acute,Illumina HiSeq 4000,GSM6133521,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-04-10T00:00:00Z,2022-05-11T19:51:00Z,1,GSM6133521,PBMC,SRP374816
