"","SRR13639990","SRR13639992","SRR13639993","SRR13639994","SRR13639995","SRR13639999","SRR13640002","SRR13640004","SRR19173185","SRR19173191","SRR19173211","SRR19173215","SRR19173217","SRR19173231","SRR19173232","SRR19173243"
"ENSG00000290825.1",1,0,0,0,0,0,0,1,5,0,1,2,1,3,14,0
"ENSG00000223972.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227232.5",85,199,181,134,161,256,124,31,1,4,25,26,17,17,23,17
"ENSG00000278267.1",0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0
"ENSG00000243485.5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290826.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009.6",1,1,1,1,2,3,1,2,0,0,0,0,0,2,0,0
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",14,21,12,21,18,19,17,12,2,0,3,0,0,6,3,0
"ENSG00000268903.1",285,406,190,301,528,397,228,176,50,29,11,25,51,122,34,18
"ENSG00000269981.1",313,363,228,240,618,437,304,178,24,15,22,28,50,107,29,3
"ENSG00000239906.1",1,0,1,2,2,0,3,0,0,0,0,0,0,2,0,0
"ENSG00000241860.7",35,35,44,34,79,37,46,35,9,2,8,1,16,23,3,8
"ENSG00000222623.1",0,0,0,0,8,0,5,1,2,0,0,0,0,1,0,1
"ENSG00000241599.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000279928.2",0,4,1,1,38,2,0,0,152,7,15,18,1,1,136,34
"ENSG00000279457.4",87,90,116,154,64,283,71,13,10,4,37,49,46,29,42,38
"ENSG00000273874.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228463.10",16,10,4,5,21,12,10,7,5,0,0,9,7,0,18,2
"ENSG00000286448.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236679.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236601.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290385.1",124,121,55,76,243,112,103,64,21,4,15,18,33,49,21,8
"ENSG00000269732.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284733.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237094.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250575.1",1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000278757.1",1,1,0,1,7,2,0,0,0,0,0,0,0,2,0,0
"ENSG00000230021.10",7,4,6,8,6,2,14,1,1,0,6,3,0,3,1,9
"ENSG00000235146.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972.1",9,25,19,14,1397,1788,13,325,1,4,2,7,1,1,4,5
"ENSG00000225630.1",72,109,126,4400,146,137,102,20,25,35,66,36,42,24,46,86
"ENSG00000237973.1",265,451,522,306,671,676,709,120,55,356,154,82,298,34,166,189
"ENSG00000278791.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229344.1",16,79,109,66,26,45,52,3,1,10,14,13,16,10,9,24
"ENSG00000240409.1",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
"ENSG00000248527.1",1272,2019,1586,1888,1419,1823,1591,282,419,1106,1420,1168,1577,645,1028,1774
"ENSG00000198744.5",26,43,58,41,40,64,30,6,2,16,24,17,20,9,13,36
"ENSG00000268663.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284662.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229376.3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000291215.1",79,54,36,56,80,50,90,20,9,2,51,48,44,42,18,30
"ENSG00000223181.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229905.1",0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0
"ENSG00000228327.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237491.10",26,43,16,26,64,23,53,7,14,1,75,50,15,65,53,36
"ENSG00000285268.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290784.1",5,8,11,4,8,8,2,1,2,0,6,0,0,0,1,7
"ENSG00000230092.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177757.2",4,3,0,4,5,9,3,3,7,2,10,6,14,2,13,20
"ENSG00000225880.6",21,8,17,10,39,25,21,13,9,2,35,16,21,33,27,65
"ENSG00000228794.12",514,183,141,222,258,162,197,43,67,7,374,89,199,180,150,217
"ENSG00000288531.1",1,0,0,0,0,3,0,0,3,0,10,0,0,4,0,7
"ENSG00000230368.2",0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000234711.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283040.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272438.1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230699.2",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000241180.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223764.2",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187634.13",3,1,2,3,2,1,0,0,0,0,0,0,4,0,0,1
"ENSG00000188976.11",252,319,315,311,483,430,544,90,117,87,851,853,1022,846,501,663
"ENSG00000187961.15",97,76,90,83,135,124,133,28,1,0,42,61,28,12,17,6
"ENSG00000187583.11",23,20,33,28,8,16,14,6,8,0,40,27,61,23,14,11
"ENSG00000187642.10",9,0,2,6,0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000272512.1",27,5,71,22,10,11,12,6,0,0,0,0,0,0,0,0
"ENSG00000188290.11",1865,181,1517,1153,53,38,40,41,0,0,0,0,0,0,0,0
"ENSG00000187608.10",419,77,179,838,737,154,535,137,33,72,265,180,253,1380,160,142
"ENSG00000231702.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224969.1",4,1,7,2,2,1,2,0,0,0,5,0,0,0,3,0
"ENSG00000188157.15",251,67,336,399,148,55,142,27,2,12,4,4,8,6,2,2
"ENSG00000242590.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000291156.1",95,56,307,90,7,5,8,1,0,3,15,24,19,5,0,8
"ENSG00000273443.1",14,5,40,12,1,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000217801.13",40,28,114,40,6,5,5,3,0,0,3,7,0,0,0,2
"ENSG00000237330.3",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131591.18",119,73,107,59,117,147,143,16,9,35,231,254,205,89,92,131
"ENSG00000285812.1",4,0,4,1,0,0,2,0,0,0,2,0,0,0,0,0
"ENSG00000223823.1",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000207730.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207607.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198976.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272141.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205231.1",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162571.14",4,1,0,1,2,4,0,1,0,0,0,6,0,0,0,1
"ENSG00000186891.14",47,47,36,55,27,36,16,6,6,0,125,100,55,36,16,5
"ENSG00000186827.12",82,44,23,38,78,41,35,12,6,0,120,28,50,9,11,1
"ENSG00000078808.20",848,1148,1237,1102,1111,1403,1399,285,129,2,236,61,38,142,60,63
"ENSG00000176022.7",38,54,50,36,170,78,188,26,0,12,12,18,6,23,4,2
"ENSG00000184163.3",35,32,25,37,7,9,4,3,3,0,0,11,0,0,0,3
"ENSG00000260179.1",10,16,11,15,3,6,1,0,0,0,8,0,6,1,0,0
"ENSG00000160087.21",433,740,939,529,785,670,861,192,93,53,788,245,150,210,203,185
"ENSG00000230415.1",1,4,4,1,17,10,4,3,0,0,1,0,0,3,0,0
"ENSG00000162572.21",37,16,13,21,50,57,30,3,1,0,61,38,17,10,3,0
"ENSG00000131584.19",283,280,297,186,477,521,441,89,8,21,27,21,21,5,1,0
"ENSG00000278073.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169972.13",28,22,11,32,29,43,51,7,11,10,47,39,126,20,39,55
"ENSG00000127054.22",465,464,364,339,743,724,796,176,189,97,1115,1223,1360,784,735,1231
"ENSG00000283712.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240731.1",10,6,2,6,23,6,6,5,0,2,2,1,0,6,0,1
"ENSG00000224051.7",80,156,198,100,200,105,243,40,12,6,55,100,86,44,48,39
"ENSG00000169962.5",6,14,5,3,27,24,21,3,1,0,27,65,20,126,28,64
"ENSG00000107404.21",344,270,531,200,343,356,281,60,2,3,10,15,0,1,3,12
"ENSG00000284372.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162576.17",35,10,15,7,66,15,15,2,0,0,18,22,4,4,0,0
"ENSG00000175756.14",378,327,415,379,418,599,435,100,87,18,565,477,377,233,167,174
"ENSG00000223663.2",1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0
"ENSG00000221978.13",1135,1211,1061,980,2233,1947,1530,272,284,263,1637,2244,1318,673,655,802
"ENSG00000224870.9",50,102,72,67,173,141,202,19,27,18,394,195,463,91,153,243
"ENSG00000242485.6",127,184,150,125,302,270,327,55,43,11,304,139,237,122,99,146
"ENSG00000264293.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272455.1",3,5,9,7,5,4,5,1,2,0,12,1,0,0,0,0
"ENSG00000235098.9",0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"ENSG00000225905.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205116.4",2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000225285.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000179403.12",0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
