Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR13639990_1 - polya	(1, 0.004878595406583385)	(2, 0.01299797204754002)	(3, 0.01534766289642508)	(4, 0.022804944446488257)	(5, 0.025791839593376043)	(6, 0.02989882042034675)	(7, 0.03302510400742263)	(8, 0.044917924850614174)	(9, 0.05766698896924688)	(10, 0.07261391010013118)	(12, 0.08113651758591767)	(14, 0.1023758311595789)	(16, 0.13125412907140566)	(18, 0.1446478647259083)	(20, 0.15941557214797936)	(22, 0.175905722438089)	(24, 0.18787072658066367)	(26, 0.20254135991046085)	(28, 0.21561151525738398)	(30, 0.22732512239176225)	(32, 0.2385807389369511)	(34, 0.25222089344107196)	(36, 0.2648280800402275)	(38, 0.2787519895833027)	(40, 0.29806475578722136)	(42, 0.31172482292565484)	(44, 0.3279013492253413)	(46, 0.34436163056398206)	(48, 0.3572077687748886)	(50, 0.3711341673972529)	(52, 0.38790060548844973)	(54, 0.4074573014626975)	(56, 0.42218767269543245)	(58, 0.435785512851639)	(60, 0.4483752758957711)	(62, 0.4601262192194855)	(64, 0.47403768336611535)	(66, 0.48889499764259303)	(68, 0.5029682519430126)	(70, 0.5181267448134681)	(72, 0.5339722235677078)	(74, 0.548232158814808)	(76, 0.5656482466004529)	(78, 0.5804781810047508)	(80, 0.5926995603140999)	(82, 0.6084255632624641)	(84, 0.6316511621088057)	(86, 0.6560117811109647)	(88, 0.6716431990463441)	(90, 0.6883175412038451)	(92, 0.704237692336757)	(94, 0.7232791488981667)	(96, 0.7379024897214714)	(98, 0.7518263992645469)	(100, 0.7656706582703716)	(102, 0.7799032136452919)	(104, 0.7948028422696838)	(106, 0.8089731706623774)	(108, 0.825530526093292)	(110, 0.8397655705475013)	(112, 0.8524026260981258)	(114, 0.8666426487109133)	(116, 0.8813083038821323)	(118, 0.8963921243739157)	(120, 0.9094050308971902)	(122, 0.9220694663199943)	(124, 0.9361974803647736)	(126, 0.9498699928996525)	(128, 0.9627335546655825)	(130, 0.9764906958962898)	(132, 0.9896529471769087)	(134, 1.0030566391485678)	(136, 1.0157733452364424)	(138, 1.027867781502049)
SRR13639990_2 - polya	(1, 0.00519719755558475)	(2, 0.01265945726422607)	(3, 0.014805043611407132)	(4, 0.022645643371987573)	(5, 0.025791839593376043)	(6, 0.029550349319876507)	(7, 0.03262685132117093)	(8, 0.04530124306113144)	(9, 0.05845851618317214)	(10, 0.07334072125254054)	(12, 0.08214708377728136)	(14, 0.10393648387382778)	(16, 0.13421613342540273)	(18, 0.14797327465611004)	(20, 0.16320146174665962)	(22, 0.18011973367448986)	(24, 0.19254272840625397)	(26, 0.2068474670805574)	(28, 0.22080871281296877)	(30, 0.23343830112572594)	(32, 0.24458439818219552)	(34, 0.2587472593370218)	(36, 0.2722878506695797)	(38, 0.287506081442973)	(40, 0.3071673187473619)	(42, 0.3215317953246031)	(44, 0.3376261820077501)	(46, 0.3539819220162498)	(48, 0.36701723025312594)	(50, 0.3813369034031638)	(52, 0.39935783745605347)	(54, 0.4203830902108544)	(56, 0.4361762983000236)	(58, 0.45116553377882207)	(60, 0.4649326313266857)	(62, 0.47755973056015383)	(64, 0.49261617117975737)	(66, 0.5095244867904314)	(68, 0.5254695287162339)	(70, 0.5426914683173312)	(72, 0.5598835389669594)	(74, 0.5755697166466984)	(76, 0.5947381162518508)	(78, 0.6115443796116729)	(80, 0.625368725983185)	(82, 0.6435016686040831)	(84, 0.6701696641072128)	(86, 0.6985426789233578)	(88, 0.7165860146898491)	(90, 0.7351445898691785)	(92, 0.7524511581661042)	(94, 0.7739592923029852)	(96, 0.7905365603682124)	(98, 0.8058195072031217)	(100, 0.8202860360312147)	(102, 0.8360618205653605)	(104, 0.8525868179655172)	(106, 0.8682132577423185)	(108, 0.8865527939442095)	(110, 0.9026098444380204)	(112, 0.9173700846222241)	(114, 0.9330562623019633)	(116, 0.9490585530514146)	(118, 0.9656656900681106)	(120, 0.9799181580773435)	(122, 0.9927742526054064)	(124, 1.0078381604628772)	(126, 1.0231285745356535)	(128, 1.0369056284006735)	(130, 1.0512949957708053)	(132, 1.0654777695599442)	(134, 1.079725259410599)	(136, 1.092663493555201)	(138, 1.1050964446041216)
SRR13639992_1 - polya	(1, 0.0036588663877443884)	(2, 0.009738748985857686)	(3, 0.011871430616757607)	(4, 0.017096252048169773)	(5, 0.019949770127742163)	(6, 0.022987225783872352)	(7, 0.02527898856206551)	(8, 0.03456535053530806)	(9, 0.04534309826442468)	(10, 0.0587382279951003)	(12, 0.06535003817947535)	(14, 0.08085050746885986)	(16, 0.10056911280444156)	(18, 0.11105852595408919)	(20, 0.12302192535912569)	(22, 0.13543025484799798)	(24, 0.14565121856158825)	(26, 0.15673470037065906)	(28, 0.1669830061564404)	(30, 0.17629919584480042)	(32, 0.18556318703170488)	(34, 0.19663672626906986)	(36, 0.20707642656018835)	(38, 0.21873657752819714)	(40, 0.23311353621482317)	(42, 0.2443734986716724)	(44, 0.25697819395173477)	(46, 0.2698090827381047)	(48, 0.2811336719110418)	(50, 0.29332575046531234)	(52, 0.30733731964174926)	(54, 0.32336971651739554)	(56, 0.3363074879496031)	(58, 0.3486362768648288)	(60, 0.35945130923784224)	(62, 0.36956787594852136)	(64, 0.38098940519559027)	(66, 0.39362641383369656)	(68, 0.4058806334611285)	(70, 0.4186618093889693)	(72, 0.4316244372504414)	(74, 0.4439656543802994)	(76, 0.4580468215586771)	(78, 0.47007484767980146)	(80, 0.48028586882168595)	(82, 0.4924704904471771)	(84, 0.5104988585927681)	(86, 0.5293102042601932)	(88, 0.5416713065334626)	(90, 0.554738331397846)	(92, 0.5666967595170296)	(94, 0.5812377706368018)	(96, 0.5931961987559855)	(98, 0.6048836917961853)	(100, 0.6164643021905474)	(102, 0.6278361185790872)	(104, 0.6397622333402269)	(106, 0.6518325153911011)	(108, 0.6658565127821702)	(110, 0.6778348260447655)	(112, 0.6891370444313645)	(114, 0.7015006323475605)	(116, 0.7139387895515502)	(118, 0.7260190141741303)	(120, 0.7365705683969392)	(122, 0.7467965033963826)	(124, 0.7590233809516234)	(126, 0.7706537042045147)	(128, 0.7812922559297497)	(130, 0.7924130223827175)	(132, 0.8031286290386725)	(134, 0.8148235790076518)	(136, 0.8250246575778304)	(138, 0.8348006912075849)
SRR13639992_2 - polya	(1, 0.0036489238160385615)	(2, 0.009465328263947439)	(3, 0.011334531744642943)	(4, 0.016459927458996833)	(5, 0.018925685242041964)	(6, 0.021510753885557024)	(7, 0.023727947375956477)	(8, 0.03273591734143587)	(9, 0.04262380490288096)	(10, 0.055007277962488665)	(12, 0.061606659932231425)	(14, 0.0767989094987353)	(16, 0.09639820397384705)	(18, 0.10692987305324446)	(20, 0.11815006522327039)	(22, 0.13032225863412927)	(24, 0.14017037590875103)	(26, 0.15100529342517616)	(28, 0.16151956300408837)	(30, 0.1713030535626223)	(32, 0.18031848045688106)	(34, 0.19117328311671783)	(36, 0.2012699646839853)	(38, 0.2125423553554668)	(40, 0.22665583589188845)	(42, 0.23774677462973864)	(44, 0.25097536628434164)	(46, 0.26458177566376606)	(48, 0.27519049967388365)	(50, 0.28676116749654)	(52, 0.30083487774613826)	(54, 0.3174538863524284)	(56, 0.33047119835828254)	(58, 0.34278258777302306)	(60, 0.3544153966688408)	(62, 0.3647979271726508)	(64, 0.3767812117210989)	(66, 0.3898308370849971)	(68, 0.4023559917914128)	(70, 0.4162532213932327)	(72, 0.4299466282750831)	(74, 0.44237981419322)	(76, 0.4576466330475175)	(78, 0.4704874644055933)	(80, 0.48098184884109385)	(82, 0.4945310884332098)	(84, 0.5147915639267591)	(86, 0.5361308084503906)	(88, 0.5493941991059639)	(90, 0.5639923800130446)	(92, 0.5774123661729849)	(94, 0.5933851076183961)	(96, 0.6062557666915893)	(98, 0.6176101835796439)	(100, 0.6292777914764321)	(102, 0.6417209199662748)	(104, 0.6543802993907192)	(106, 0.6665997200171807)	(108, 0.6813868097866722)	(110, 0.6939741055662494)	(112, 0.705932533685433)	(114, 0.7190492714083454)	(116, 0.7321262388444345)	(118, 0.745590966577051)	(120, 0.7575543659820875)	(122, 0.7684265681424094)	(124, 0.780586333338636)	(126, 0.7920550898013077)	(128, 0.8028924929606592)	(130, 0.8148036938642401)	(132, 0.8263917611873817)	(134, 0.8381761943017133)	(136, 0.8486432366650228)	(138, 0.8587573177327754)
SRR13639993_1 - polya	(1, 0.003742034629760421)	(2, 0.010312464265391705)	(3, 0.012465349123812312)	(4, 0.01838942732339407)	(5, 0.021212962544031478)	(6, 0.024449579509512567)	(7, 0.02719049838118124)	(8, 0.038742207881103996)	(9, 0.04939485711283755)	(10, 0.06860801803330226)	(12, 0.07524648466220192)	(14, 0.09271498268385625)	(16, 0.11502382679803186)	(18, 0.1260628289558251)	(20, 0.13910649252241855)	(22, 0.1526069759009568)	(24, 0.16305308426026852)	(26, 0.17423545008244867)	(28, 0.18485408081754806)	(30, 0.1947558932307128)	(32, 0.2040769613084797)	(34, 0.2153711021910293)	(36, 0.22571029527520503)	(38, 0.23823882160705223)	(40, 0.25325555797842847)	(42, 0.2649020332904036)	(44, 0.27763467060205593)	(46, 0.2903673079137083)	(48, 0.3012386474809473)	(50, 0.3127757776251697)	(52, 0.3270489668558273)	(54, 0.34321261254229896)	(56, 0.3559671188875019)	(58, 0.3679124709913345)	(60, 0.3792114716591175)	(62, 0.38954094517282634)	(64, 0.400541069048752)	(66, 0.41284604525986024)	(68, 0.42487887349789505)	(70, 0.4371765600311532)	(72, 0.4495495732355298)	(74, 0.46073679884294344)	(76, 0.4742445718993319)	(78, 0.48670506123791074)	(80, 0.4968401433422813)	(82, 0.5089142797548005)	(84, 0.5265042724072913)	(86, 0.5449204285494693)	(88, 0.5567175572036815)	(90, 0.5693602884885149)	(92, 0.5815802184580379)	(94, 0.5959530332859813)	(96, 0.6072690432020814)	(98, 0.6177102917761597)	(100, 0.6287225651151689)	(102, 0.6398709124407149)	(104, 0.6516437421687598)	(106, 0.6629816211184105)	(108, 0.6754688392757734)	(110, 0.6866779339167376)	(112, 0.6969855383968959)	(114, 0.7082456607828114)	(116, 0.7198143795310512)	(118, 0.7320197301448736)	(120, 0.7427622854034261)	(122, 0.7529095169708803)	(124, 0.7641380507527783)	(126, 0.7750215397831011)	(128, 0.785010828330468)	(130, 0.7956853465957521)	(132, 0.8060828571027292)	(134, 0.8174766235825647)	(136, 0.827203483727325)	(138, 0.8370664178586221)
SRR13639993_2 - polya	(1, 0.003746894414993876)	(2, 0.00983134552727965)	(3, 0.011755820479727867)	(4, 0.017402890921002685)	(5, 0.01986194224913096)	(6, 0.02296248522807531)	(7, 0.02550901269040578)	(8, 0.03652128602941502)	(9, 0.047305149462451866)	(10, 0.06347365493415696)	(12, 0.07007810306642243)	(14, 0.08645800919578281)	(16, 0.10819825843764416)	(18, 0.11874399239424172)	(20, 0.1308521473033951)	(22, 0.14323730997085538)	(24, 0.15308080496121867)	(26, 0.16416840497134647)	(28, 0.17450759805552218)	(30, 0.18444585885793785)	(32, 0.19391758027794181)	(34, 0.2054279816033802)	(36, 0.21581820243250718)	(38, 0.22789962852287654)	(40, 0.24348738965918373)	(42, 0.25509255679667453)	(44, 0.26842537758465856)	(46, 0.2822344573255212)	(48, 0.292884676664638)	(50, 0.3041642381914873)	(52, 0.31859780033484897)	(54, 0.3366907807590022)	(56, 0.3498972471309164)	(58, 0.36287773348947494)	(60, 0.3752993445461862)	(62, 0.3864379723012653)	(64, 0.39861902398892046)	(66, 0.4120684796225074)	(68, 0.42466504294762303)	(70, 0.43828945084961435)	(72, 0.4517583456241352)	(74, 0.4641022001171111)	(76, 0.4792501506897906)	(78, 0.4923229729677848)	(80, 0.50317487339409)	(82, 0.5164347974035722)	(84, 0.5361971140554174)	(86, 0.5573663385323477)	(88, 0.5699993502467142)	(90, 0.5840538491418664)	(92, 0.5973720905741501)	(94, 0.6137957347706116)	(96, 0.6260326739884515)	(98, 0.6372952262669838)	(100, 0.6489854396460599)	(102, 0.6614386393067886)	(104, 0.6743996865244133)	(106, 0.6869112036079434)	(108, 0.7011941124090679)	(110, 0.7139899269287552)	(112, 0.7253836934085907)	(114, 0.7375744646667128)	(116, 0.7501515888508945)	(118, 0.7627603016390938)	(120, 0.7735879031392316)	(122, 0.7838833581563063)	(124, 0.7956197394951003)	(126, 0.8072006077064239)	(128, 0.8177050334885371)	(130, 0.8289675857670693)	(132, 0.8402665864348524)	(134, 0.8515874561361859)	(136, 0.8620068356767137)	(138, 0.8726692044789142)
SRR13639994_1 - polya	(1, 0.00318389861998717)	(2, 0.008693554731144141)	(3, 0.010404961186910597)	(4, 0.01585123187377992)	(5, 0.01825012639297393)	(6, 0.02104883666536694)	(7, 0.023379469958405022)	(8, 0.032238801953070696)	(9, 0.04259012931943021)	(10, 0.05437494243506419)	(12, 0.06084513151427243)	(14, 0.07462170969309899)	(16, 0.09153099057229579)	(18, 0.10144349577051005)	(20, 0.11284068263761574)	(22, 0.12362839427118635)	(24, 0.13248285046398375)	(26, 0.14205892533328665)	(28, 0.15189585560254257)	(30, 0.16063816835236952)	(32, 0.16911962570224345)	(34, 0.17956846910596858)	(36, 0.1891689229846129)	(38, 0.1997079687229012)	(40, 0.2132992664307331)	(42, 0.2242795722381008)	(44, 0.23656415504523354)	(46, 0.24925342940743356)	(48, 0.25965595269341)	(50, 0.2707995978633651)	(52, 0.284130040171244)	(54, 0.29967653442825637)	(56, 0.3122390379418811)	(58, 0.324682084309733)	(60, 0.33540641051901593)	(62, 0.3449069104593605)	(64, 0.3559286605826086)	(66, 0.36814985796545363)	(68, 0.37931056844194777)	(70, 0.3917584906116679)	(72, 0.4045062745962873)	(74, 0.4154890183045891)	(76, 0.42933629561050574)	(78, 0.44165744693165054)	(80, 0.4510969993486416)	(82, 0.46285011975213175)	(84, 0.47986910617336487)	(86, 0.4979193246897393)	(88, 0.5092043681138745)	(90, 0.5213670558743002)	(92, 0.5334322275973604)	(94, 0.547330700822894)	(96, 0.5588156521236287)	(98, 0.5694814687104923)	(100, 0.5809200998934784)	(102, 0.5923660447792668)	(104, 0.6044799745210098)	(106, 0.6159307952086666)	(108, 0.6291954141913236)	(110, 0.6410484885331136)	(112, 0.6514241949088144)	(114, 0.6632382628356581)	(116, 0.6750474549606336)	(118, 0.6873783578855148)	(120, 0.6980807429863907)	(122, 0.707647066251957)	(124, 0.7190125604069189)	(126, 0.7294735933153147)	(128, 0.739612823300404)	(130, 0.7501957512555069)	(132, 0.7605958366405491)	(134, 0.7713006596423589)	(136, 0.7810961455957346)	(138, 0.7904698746875037)
SRR13639994_2 - polya	(1, 0.0033643032891135486)	(2, 0.008322993789154822)	(3, 0.009990518028106755)	(4, 0.01487607150012382)	(5, 0.017143319368874255)	(6, 0.01969823954785324)	(7, 0.02191185359605259)	(8, 0.030293357007626778)	(9, 0.04004008494231951)	(10, 0.051188605914142885)	(12, 0.057897709284896855)	(14, 0.07168891486932827)	(16, 0.08863476426253716)	(18, 0.09834248578228365)	(20, 0.10920821024574676)	(22, 0.12013732013349751)	(24, 0.1292087495094334)	(26, 0.1396990372290389)	(28, 0.1494506409655999)	(30, 0.15848793972845782)	(32, 0.16704009620542182)	(34, 0.1780618463286699)	(36, 0.18852775503893401)	(38, 0.19969821711916463)	(40, 0.21366738947178832)	(42, 0.22510602065477436)	(44, 0.23821217607671236)	(46, 0.2521862242312043)	(48, 0.26300319067598454)	(50, 0.2747270562682651)	(52, 0.2894958601272867)	(54, 0.30614916140839876)	(56, 0.3195917471592481)	(58, 0.3324297334784307)	(60, 0.3441024031510942)	(62, 0.354197750919369)	(64, 0.365843603681757)	(66, 0.3795567964362959)	(68, 0.39232652152932257)	(70, 0.40620061574551475)	(72, 0.4202209840177553)	(74, 0.43253725953703187)	(76, 0.44767662433804284)	(78, 0.4606048129917886)	(80, 0.4712096820552987)	(82, 0.48457913077812387)	(84, 0.5040238286288266)	(86, 0.5242949748962027)	(88, 0.5369623081499955)	(90, 0.5508412781680558)	(92, 0.5642351059002224)	(94, 0.5796694567142644)	(96, 0.5923026593549792)	(98, 0.6033926707043832)	(100, 0.6147971712742912)	(102, 0.6269159768179025)	(104, 0.6397637147408216)	(106, 0.6527089687011063)	(108, 0.6679092810254708)	(110, 0.6811275798903793)	(112, 0.6925223288565509)	(114, 0.7051750347047387)	(116, 0.7177667930295731)	(118, 0.7311118627430568)	(120, 0.7428698589484153)	(122, 0.7528945075896001)	(124, 0.7647573335351265)	(126, 0.7761764615106395)	(128, 0.787310355076858)	(130, 0.7988489401981438)	(132, 0.8098975072316674)	(134, 0.8211557337455271)	(136, 0.8312827742259457)	(138, 0.8411806520185552)
SRR13639995_1 - polya	(1, 0.0030900179487592097)	(2, 0.008766568493604403)	(3, 0.010666978893400403)	(4, 0.015825235692846686)	(5, 0.018293301147127208)	(6, 0.021363574572252172)	(7, 0.023816831633807007)	(8, 0.03247974137833163)	(9, 0.04267285170451017)	(10, 0.05338425577608763)	(12, 0.059927097295385284)	(14, 0.07439983311928625)	(16, 0.09254998647006518)	(18, 0.10284428747986923)	(20, 0.1138938165186831)	(22, 0.12490879264113708)	(24, 0.13433927074194293)	(26, 0.14479893213718376)	(28, 0.15507348862335357)	(30, 0.1643336702078141)	(32, 0.17341368301411209)	(34, 0.18434474491112052)	(36, 0.19498457508452383)	(38, 0.20609086962878617)	(40, 0.22105475047808895)	(42, 0.23307916537134366)	(44, 0.24634254912264716)	(46, 0.25993418557937)	(48, 0.271195968247252)	(50, 0.2835190190604746)	(52, 0.2981250304189067)	(54, 0.31481162095529736)	(56, 0.32734939346304237)	(58, 0.3398476769235189)	(60, 0.351074906675041)	(62, 0.3614086967321135)	(64, 0.37267294746544977)	(66, 0.3856327591658768)	(68, 0.39786942768819966)	(70, 0.4113179163485742)	(72, 0.4245516833144263)	(74, 0.4367439266585721)	(76, 0.4507625384388854)	(78, 0.4629547817830312)	(80, 0.4732638911855609)	(82, 0.4853105186679041)	(84, 0.5026116575024105)	(86, 0.5209888728749833)	(88, 0.532899756757341)	(90, 0.5453067217960093)	(92, 0.5576001558237805)	(94, 0.5720654874513187)	(96, 0.5837813941627883)	(98, 0.5939300793107898)	(100, 0.6043206348733108)	(102, 0.6156762040284554)	(104, 0.627999254841678)	(106, 0.6397423102731448)	(108, 0.6534326693480388)	(110, 0.6656347849540016)	(112, 0.6764819326255647)	(114, 0.6884545181442794)	(116, 0.7002962961939172)	(118, 0.712937727450742)	(120, 0.7240292136022788)	(122, 0.7344345775575254)	(124, 0.7464960134325943)	(126, 0.7579971984495415)	(128, 0.7684469875829653)	(130, 0.7800789800689893)	(132, 0.7909779571150921)	(134, 0.8016868931212153)	(136, 0.8114949852365261)	(138, 0.8214215444936424)
SRR13639995_2 - polya	(1, 0.0032923993160102125)	(2, 0.008070574035497297)	(3, 0.009664944318962513)	(4, 0.015050263140202604)	(5, 0.017355436274500608)	(6, 0.019433547387004806)	(7, 0.02169923147403432)	(8, 0.03039669413491887)	(9, 0.040347934046577924)	(10, 0.050585469550933515)	(12, 0.05687656839389456)	(14, 0.07081126594876236)	(16, 0.0880630434741832)	(18, 0.09795998594584808)	(20, 0.10857019933380002)	(22, 0.11911624301994068)	(24, 0.1278285140735509)	(26, 0.1372565241089025)	(28, 0.14706708428966758)	(30, 0.155754674688735)	(32, 0.1644323928259853)	(34, 0.17534864633026803)	(36, 0.18593664712913144)	(38, 0.19713426009520219)	(40, 0.21182665374453408)	(42, 0.22344136977237822)	(44, 0.23707989947273236)	(46, 0.25144897654755355)	(48, 0.2623578258554734)	(50, 0.27456981372325345)	(52, 0.2894275677580222)	(54, 0.30827124750145396)	(56, 0.32169999163819424)	(58, 0.3348375040513294)	(60, 0.3463460932646395)	(62, 0.357321580339825)	(64, 0.3701357761784494)	(66, 0.38399643176968884)	(68, 0.3963120783865486)	(70, 0.40987409805782005)	(72, 0.42350522356181136)	(74, 0.43596154990956515)	(76, 0.4510907911443047)	(78, 0.4641542615938115)	(80, 0.47453741295996965)	(82, 0.4876897337658306)	(84, 0.5071158769564725)	(86, 0.5283140911432879)	(88, 0.5409925433819269)	(90, 0.5542534590677761)	(92, 0.5676303738299766)	(94, 0.582599190810188)	(96, 0.5945174788889085)	(98, 0.6050906712950462)	(100, 0.6158415644138922)	(102, 0.6277795970162471)	(104, 0.638873551233238)	(106, 0.651058390381021)	(108, 0.6656644017394531)	(110, 0.6790808055489219)	(112, 0.6908436055040229)	(114, 0.7032431663463282)	(116, 0.7153687719232085)	(118, 0.7289875570999282)	(120, 0.7405257630986897)	(122, 0.7512075503848158)	(124, 0.7628913722453798)	(126, 0.7751231046367941)	(128, 0.7862071865919679)	(130, 0.797372714707133)	(132, 0.8082865001459614)	(134, 0.8195285382902091)	(136, 0.8295093949873196)	(138, 0.8391891476990078)
