Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR13639990_1	(24.0, 1.0)	(25.0, 55.0)	(26.0, 3662.0)	(27.0, 41908.0)	(28.0, 153841.0)	(29.0, 303537.0)	(30.0, 467498.0)	(31.0, 672470.0)	(32.0, 963446.0)	(33.0, 1427295.0)	(34.0, 2283849.0)	(35.0, 4315356.0)	(36.0, 8862277.0)	(37.0, 592554.0)																
SRR13639990_2	(24.0, 14.0)	(25.0, 2001.0)	(26.0, 30758.0)	(27.0, 122812.0)	(28.0, 270119.0)	(29.0, 423541.0)	(30.0, 558307.0)	(31.0, 719769.0)	(32.0, 949133.0)	(33.0, 1321245.0)	(34.0, 2001336.0)	(35.0, 3820521.0)	(36.0, 8653211.0)	(37.0, 1214982.0)																
SRR13639992_1	(24.0, 1.0)	(25.0, 62.0)	(26.0, 3739.0)	(27.0, 41309.0)	(28.0, 155366.0)	(29.0, 312720.0)	(30.0, 482561.0)	(31.0, 696931.0)	(32.0, 999264.0)	(33.0, 1472560.0)	(34.0, 2352943.0)	(35.0, 4368017.0)	(36.0, 8606652.0)	(37.0, 623395.0)																
SRR13639992_2	(24.0, 6.0)	(25.0, 1800.0)	(26.0, 28139.0)	(27.0, 111668.0)	(28.0, 248729.0)	(29.0, 396729.0)	(30.0, 521513.0)	(31.0, 677423.0)	(32.0, 900155.0)	(33.0, 1259626.0)	(34.0, 1929177.0)	(35.0, 3798031.0)	(36.0, 8968373.0)	(37.0, 1274151.0)																
SRR13639993_1	(24.0, 1.0)	(25.0, 55.0)	(26.0, 3738.0)	(27.0, 42084.0)	(28.0, 152981.0)	(29.0, 303870.0)	(30.0, 472940.0)	(31.0, 680584.0)	(32.0, 977853.0)	(33.0, 1449846.0)	(34.0, 2317635.0)	(35.0, 4376190.0)	(36.0, 9158294.0)	(37.0, 640970.0)																
SRR13639993_2	(24.0, 14.0)	(25.0, 2324.0)	(26.0, 35376.0)	(27.0, 135875.0)	(28.0, 295452.0)	(29.0, 457423.0)	(30.0, 599105.0)	(31.0, 765788.0)	(32.0, 1005772.0)	(33.0, 1388136.0)	(34.0, 2081234.0)	(35.0, 3878606.0)	(36.0, 8679027.0)	(37.0, 1252909.0)																
SRR13639994_1	(25.0, 66.0)	(26.0, 3804.0)	(27.0, 41321.0)	(28.0, 152788.0)	(29.0, 306525.0)	(30.0, 477845.0)	(31.0, 691275.0)	(32.0, 994962.0)	(33.0, 1479142.0)	(34.0, 2370128.0)	(35.0, 4447224.0)	(36.0, 8928913.0)	(37.0, 615454.0)																	
SRR13639994_2	(24.0, 15.0)	(25.0, 2255.0)	(26.0, 34288.0)	(27.0, 132056.0)	(28.0, 288504.0)	(29.0, 449702.0)	(30.0, 588970.0)	(31.0, 753631.0)	(32.0, 987580.0)	(33.0, 1359736.0)	(34.0, 2046558.0)	(35.0, 3889379.0)	(36.0, 8745500.0)	(37.0, 1231273.0)																
SRR13639995_1	(25.0, 110.0)	(26.0, 4718.0)	(27.0, 46842.0)	(28.0, 159020.0)	(29.0, 299494.0)	(30.0, 458418.0)	(31.0, 662751.0)	(32.0, 960745.0)	(33.0, 1443046.0)	(34.0, 2348109.0)	(35.0, 4429304.0)	(36.0, 8756795.0)	(37.0, 689430.0)																	
SRR13639995_2	(24.0, 30.0)	(25.0, 3139.0)	(26.0, 46587.0)	(27.0, 178591.0)	(28.0, 349127.0)	(29.0, 503076.0)	(30.0, 640525.0)	(31.0, 808867.0)	(32.0, 1053830.0)	(33.0, 1433813.0)	(34.0, 2143672.0)	(35.0, 3973272.0)	(36.0, 8121435.0)	(37.0, 1002818.0)																
