.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Per Tile Sequence Quality
SRR13639990_1	1	1	1	0.25	1	1	1	0.25	0.5	1	0
SRR13639990_2	1	1	1	0.25	1	1	1	0.25	1	1	0
SRR13639992_1	1	1	1	0.25	1	1	1	0.25	0.5	1	0
SRR13639992_2	1	1	1	0.25	1	1	1	0.25	1	1	0
SRR13639993_1	1	1	1	0.25	1	1	1	0.25	1	1	0
SRR13639993_2	1	1	1	0.25	1	1	1	0.25	1	1	0
SRR13639994_1	1	1	1	0.25	1	1	1	0.25	0.5	1	0
SRR13639994_2	1	1	1	0.25	1	1	1	0.25	0.5	1	0
SRR13639995_1	1	1	1	0.25	1	1	1	0.5	1	1	0
SRR13639995_2	1	1	1	0.25	1	1	1	0.5	1	1	0
SRR13639999_1	1	1	1	0.25	1	1	1	0.25	1	1	0
SRR13639999_2	1	1	1	0.25	1	1	1	0.25	1	1	0
SRR13640002_1	1	1	1	0.25	1	1	1	0.5	1	1	0
SRR13640002_2	1	1	1	0.25	1	1	1	0.5	1	1	0
SRR13640004_1	1	1	1	0.25	1	1	1	0.25	1	1	0
SRR13640004_2	1	1	1	0.25	1	1	1	0.25	1	1	0
SRR19173185_1	1	1	1	0.25	1	1	1	0.25	1	0.5	1
SRR19173185_2	1	1	1	0.5	1	1	1	0.25	1	0.5	1
SRR19173191_1	1	1	1	0.25	0.5	1	1	0.25	1	0.5	1
SRR19173191_2	1	1	1	0.25	0.5	1	1	0.25	1	0.5	0.5
SRR19173211_1	1	1	1	0.25	1	1	1	0.25	1	0.5	1
SRR19173211_2	1	1	1	0.25	1	1	1	0.5	1	0.5	1
SRR19173215_1	1	1	1	0.25	0.5	1	1	0.5	1	0.25	1
SRR19173215_2	1	1	1	0.25	1	1	1	0.5	1	0.25	0.5
SRR19173217_1	1	1	1	0.25	1	1	1	0.5	1	0.25	0.5
SRR19173217_2	1	1	1	0.25	1	1	1	0.5	1	0.5	0.5
SRR19173231_1	1	1	1	0.25	0.5	1	1	0.5	1	0.5	1
SRR19173231_2	1	1	1	0.25	0.5	1	1	0.5	1	0.5	1
SRR19173232_1	1	1	1	0.25	1	1	1	0.25	1	0.5	1
SRR19173232_2	1	1	1	0.25	1	1	1	0.25	1	0.5	1
SRR19173243_1	1	1	1	0.25	1	1	1	0.25	1	0.5	1
SRR19173243_2	1	1	1	0.25	1	1	1	0.25	1	0.5	1
