Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR13639990_1	(1, 35.76273678051234)	(2, 35.52084088665186)	(3, 35.92044504339436)	(4, 35.84267077411212)	(5, 35.818476973203914)	(6, 35.793520070367265)	(7, 35.89738417181537)	(8, 35.881556763776764)	(9, 35.845399402391976)	(10, 35.7993883336555)	(15, 35.76563162950712)	(20, 35.760623193768495)	(25, 35.74906263514145)	(30, 35.72482060583294)	(35, 35.701555311150095)	(40, 35.647268213078526)	(45, 35.631311910558026)	(50, 35.62140706756143)	(55, 35.58741291520518)	(60, 35.53908740098256)	(65, 35.50462047290615)	(70, 35.44609730039936)	(75, 35.41100615106252)	(80, 35.34267770868702)	(85, 35.26297057972996)	(90, 35.20196714923111)	(95, 35.12452691438946)	(100, 35.03693418311828)	(105, 34.944549715351386)	(110, 34.84527073690536)	(115, 34.730896388639664)	(120, 34.62058518353649)	(125, 34.4879529508259)	(130, 34.35674961888463)	(135, 34.20988789734479)	(140, 34.077979459022515)	(145, 33.92005655785523)	(150, 33.817445598309696)
SRR13639990_2	(1, 35.46512832274039)	(2, 35.12095765433947)	(3, 35.54706194307784)	(4, 35.53669169203578)	(5, 35.53874179730143)	(6, 35.40670793925193)	(7, 35.57506020211623)	(8, 35.62232174446226)	(9, 35.583642398160194)	(10, 35.52714116449782)	(15, 35.55069729316112)	(20, 35.540239804868136)	(25, 35.545120540882905)	(30, 35.53678445504272)	(35, 35.512457110052495)	(40, 35.5136130683433)	(45, 35.497949332202424)	(50, 35.48031552962952)	(55, 35.441380335845494)	(60, 35.42324908579852)	(65, 35.38266033690485)	(70, 35.34819515118394)	(75, 35.312740745615656)	(80, 35.25299671954284)	(85, 35.210190778469006)	(90, 35.13211661495771)	(95, 35.06795049061993)	(100, 35.02094695627668)	(105, 34.94810640057281)	(110, 34.84998931438261)	(115, 34.77656526871179)	(120, 34.66946616069326)	(125, 34.573797512105514)	(130, 34.4283852312173)	(135, 34.3249445420689)	(140, 34.22071414771262)	(145, 34.07242135492633)	(150, 34.01491655436356)
SRR13639992_1	(1, 35.810792363309524)	(2, 35.53159470896104)	(3, 35.93499929407741)	(4, 35.84485904416093)	(5, 35.821960058700945)	(6, 35.804796843432335)	(7, 35.91584681877476)	(8, 35.913551228106456)	(9, 35.8811966581028)	(10, 35.83071215658357)	(15, 35.791791671306534)	(20, 35.77989357471246)	(25, 35.76491245565613)	(30, 35.74173723572645)	(35, 35.71400785065462)	(40, 35.65926429940663)	(45, 35.632501332304614)	(50, 35.61921421867295)	(55, 35.57567151135044)	(60, 35.5257880482334)	(65, 35.48177199495713)	(70, 35.41859580065541)	(75, 35.37332520362387)	(80, 35.30125595560045)	(85, 35.214330954407345)	(90, 35.14754702836417)	(95, 35.05896269149393)	(100, 34.970112957557156)	(105, 34.87073894187175)	(110, 34.762719780547556)	(115, 34.648108425732964)	(120, 34.529625672117845)	(125, 34.39329729482509)	(130, 34.2562950497924)	(135, 34.10719201889884)	(140, 33.971065475811706)	(145, 33.81147705851005)	(150, 33.7073011783936)
SRR13639992_2	(1, 35.518378048392485)	(2, 35.20603419648113)	(3, 35.60493887306915)	(4, 35.59258204610172)	(5, 35.59189307559536)	(6, 35.46481284103021)	(7, 35.634883214552744)	(8, 35.67796875248564)	(9, 35.6419539241342)	(10, 35.592866841125655)	(15, 35.6148386718315)	(20, 35.60591246957573)	(25, 35.611600962838644)	(30, 35.606318981562495)	(35, 35.58374719619478)	(40, 35.5882085971429)	(45, 35.573931153656474)	(50, 35.554818995482094)	(55, 35.517024247943866)	(60, 35.49985518644311)	(65, 35.458290663129766)	(70, 35.425747502425985)	(75, 35.391020286823306)	(80, 35.33366711872226)	(85, 35.29209410445268)	(90, 35.215813640412975)	(95, 35.14764980472789)	(100, 35.10442670137287)	(105, 35.03424021849795)	(110, 34.93774800750863)	(115, 34.86743220160354)	(120, 34.76013277310256)	(125, 34.666204293997865)	(130, 34.52364825766374)	(135, 34.42357218704761)	(140, 34.3178698139546)	(145, 34.17433189895166)	(150, 34.113457867358136)
SRR13639993_1	(1, 35.78107119483312)	(2, 35.53790085756256)	(3, 35.9356907535928)	(4, 35.85849977166299)	(5, 35.8350321117599)	(6, 35.81167549794939)	(7, 35.914310274251775)	(8, 35.90082383565256)	(9, 35.87077515178203)	(10, 35.82620331076757)	(15, 35.7904283613956)	(20, 35.7838803645286)	(25, 35.773047767169246)	(30, 35.75209119717456)	(35, 35.729850195662245)	(40, 35.67581198871111)	(45, 35.656937963043376)	(50, 35.64663557797255)	(55, 35.61354629171415)	(60, 35.57170772998897)	(65, 35.52964837850107)	(70, 35.47253268339214)	(75, 35.435600852425765)	(80, 35.36568239330427)	(85, 35.2876796522882)	(90, 35.224940485855086)	(95, 35.145720942092694)	(100, 35.05622773459022)	(105, 34.96111829684355)	(110, 34.85675278578684)	(115, 34.747218620986374)	(120, 34.632064746335494)	(125, 34.49616342796809)	(130, 34.35902839480176)	(135, 34.209539078043335)	(140, 34.06970564912613)	(145, 33.91173231369855)	(150, 33.801453668678604)
SRR13639993_2	(1, 35.42737252649689)	(2, 35.060104365831805)	(3, 35.50707990522058)	(4, 35.47950008944435)	(5, 35.483541389648785)	(6, 35.35060196458762)	(7, 35.530345689645074)	(8, 35.579580125247354)	(9, 35.539764633797446)	(10, 35.48520490385376)	(15, 35.50706450942096)	(20, 35.49682087915362)	(25, 35.50232379864529)	(30, 35.49703111346281)	(35, 35.472090598449014)	(40, 35.47514883213772)	(45, 35.46041635432422)	(50, 35.43895376405188)	(55, 35.39925386745354)	(60, 35.382655863882476)	(65, 35.34196780771346)	(70, 35.30350867260263)	(75, 35.271008596425496)	(80, 35.20829938570857)	(85, 35.16445377156025)	(90, 35.08248138301323)	(95, 35.01148774500668)	(100, 34.9628108531251)	(105, 34.88975789084543)	(110, 34.78774690685604)	(115, 34.71626114755761)	(120, 34.60775552714309)	(125, 34.51044573415585)	(130, 34.364953940656484)	(135, 34.26297478826037)	(140, 34.151904114882214)	(145, 34.00475607741657)	(150, 33.935382546013294)
SRR13639994_1	(1, 35.76273538725837)	(2, 35.52934737830815)	(3, 35.9185834703393)	(4, 35.8360653507625)	(5, 35.811310368339036)	(6, 35.79601990243813)	(7, 35.91397222948039)	(8, 35.8963040300404)	(9, 35.87386953924209)	(10, 35.82267704243806)	(15, 35.7861086649484)	(20, 35.77867701649879)	(25, 35.76726409054326)	(30, 35.74603008067454)	(35, 35.719941088611506)	(40, 35.670586515570115)	(45, 35.64892599980877)	(50, 35.63445235749165)	(55, 35.59478683164885)	(60, 35.54483280802257)	(65, 35.50855267818776)	(70, 35.44346178617102)	(75, 35.40663950617489)	(80, 35.33499541942793)	(85, 35.249879082551566)	(90, 35.18333918998401)	(95, 35.09092243198951)	(100, 35.01000395573806)	(105, 34.917690476978734)	(110, 34.81119833216371)	(115, 34.70009639947874)	(120, 34.58216609155771)	(125, 34.4457298824293)	(130, 34.30973842444412)	(135, 34.154796567650024)	(140, 34.023758075973475)	(145, 33.86270072518288)	(150, 33.76380699099298)
SRR13639994_2	(1, 35.414620637991845)	(2, 35.09813277754393)	(3, 35.49829768691472)	(4, 35.49335927975045)	(5, 35.49364066227627)	(6, 35.3778894184714)	(7, 35.5427315031946)	(8, 35.58373436397383)	(9, 35.552064324308695)	(10, 35.49859290696624)	(15, 35.51798466336025)	(20, 35.50759014614094)	(25, 35.514816162522564)	(30, 35.50875833951057)	(35, 35.4887495016321)	(40, 35.491568192940555)	(45, 35.47612060920024)	(50, 35.456945952760215)	(55, 35.415726148052656)	(60, 35.39602799626924)	(65, 35.35478281788875)	(70, 35.32019323582932)	(75, 35.283006557904756)	(80, 35.222645086432614)	(85, 35.182233172839815)	(90, 35.10319639530017)	(95, 35.039044709494114)	(100, 34.98843723090145)	(105, 34.915721559923085)	(110, 34.816285100227226)	(115, 34.744058481927866)	(120, 34.633329021499215)	(125, 34.53650043319062)	(130, 34.39258391510995)	(135, 34.28686896336113)	(140, 34.18203630746358)	(145, 34.03112478849381)	(150, 33.97130619855328)
SRR13639995_1	(1, 35.97921607528034)	(2, 35.383467081091055)	(3, 35.85968302536648)	(4, 35.75763444218907)	(5, 35.745319141101376)	(6, 35.731301615269864)	(7, 35.84607337203194)	(8, 35.89424334592277)	(9, 35.829337469547774)	(10, 35.77545699440371)	(15, 35.73520797054828)	(20, 35.72685297664983)	(25, 35.710561878794095)	(30, 35.69491740421512)	(35, 35.664382281225)	(40, 35.64835726056976)	(45, 35.622994501841234)	(50, 35.59522412551752)	(55, 35.559736483664224)	(60, 35.52093488147511)	(65, 35.480252593665305)	(70, 35.43780586611772)	(75, 35.39092054004037)	(80, 35.331643639780516)	(85, 35.272185721727986)	(90, 35.20392763000263)	(95, 35.13259586879409)	(100, 35.05588042755976)	(105, 34.96534098644233)	(110, 34.85064860266525)	(115, 34.770049186570056)	(120, 34.658165096006265)	(125, 34.544641430072154)	(130, 34.412865798151145)	(135, 34.28407297141556)	(140, 34.1291502717192)	(145, 33.96992097550583)	(150, 33.89204499066133)
SRR13639995_2	(1, 35.37020113055168)	(2, 34.899094575379706)	(3, 35.448931875568825)	(4, 35.33212880221526)	(5, 35.33603481196451)	(6, 35.3146030200631)	(7, 35.414755487274604)	(8, 35.48503651404117)	(9, 35.43006460111965)	(10, 35.35849389168608)	(15, 35.36921380564735)	(20, 35.35836521662556)	(25, 35.3574146658965)	(30, 35.358457522273554)	(35, 35.346765032567106)	(40, 35.33869179302092)	(45, 35.32610589323682)	(50, 35.30194311780442)	(55, 35.28300732985823)	(60, 35.2571570689689)	(65, 35.22037895466766)	(70, 35.18020153432718)	(75, 35.131725510447765)	(80, 35.08084670638146)	(85, 35.026150012374885)	(90, 34.96453303066295)	(95, 34.88847630622611)	(100, 34.817374815524445)	(105, 34.7103463475741)	(110, 34.64481734390547)	(115, 34.532554928524334)	(120, 34.441339336195036)	(125, 34.31685181271016)	(130, 34.19724950887966)	(135, 34.06948562850422)	(140, 33.93277088425158)	(145, 33.76701837257541)	(150, 33.68278547051842)
