Sample	Unique Reads	Duplicate Reads
SRR13639990_1	9905619.0	10182130.0
SRR13639990_2	9916250.0	10171499.0
SRR13639992_1	9641568.0	10473952.0
SRR13639992_2	9657279.0	10458241.0
SRR13639993_1	8857820.0	11719221.0
SRR13639993_2	9003669.0	11573372.0
SRR13639994_1	9470431.0	11039016.0
SRR13639994_2	9431837.0	11077610.0
SRR13639995_1	11052128.0	9206654.0
SRR13639995_2	11153418.0	9105364.0
SRR13639999_1	10090258.0	10653669.0
SRR13639999_2	10248976.0	10494951.0
SRR13640002_1	10462485.0	10338327.0
SRR13640002_2	10624074.0	10176738.0
SRR13640004_1	9836570.0	10511782.0
SRR13640004_2	10014739.0	10333613.0
SRR19173185_1	7484414.0	11961562.0
SRR19173185_2	7860733.0	11585243.0
SRR19173191_1	7437206.0	9149097.0
SRR19173191_2	8091426.0	8494877.0
SRR19173211_1	10092670.0	10244669.0
SRR19173211_2	10472318.0	9865021.0
SRR19173215_1	9940133.0	7178035.0
SRR19173215_2	10821683.0	6296485.0
SRR19173217_1	11066523.0	10153808.0
SRR19173217_2	12559866.0	8660465.0
SRR19173231_1	8861312.0	7705274.0
SRR19173231_2	9100450.0	7466136.0
SRR19173232_1	6542136.0	7193493.0
SRR19173232_2	6857843.0	6877786.0
SRR19173243_1	7930095.0	12092055.0
SRR19173243_2	8319363.0	11702787.0
