Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR13639990_1	(1.0, 38.3213135778456)	(2.0, 11.849149876720444)	(3.0, 5.798454694249785)	(4.0, 3.6165071345193742)	(5.0, 2.5721417849225556)	(6.0, 1.9955128860918454)	(7.0, 1.6211376181877315)	(8.0, 1.3270831736559272)	(9.0, 1.1700550087667345)	('>10', 13.854024333519446)	('>50', 4.218760370286575)	('>100', 7.456181265663286)	('>500', 2.2139783625745766)	('>1k', 3.077992782695299)	('>5k', 0.3747852620902835)	('>10k+', 0.5329218682106767)
SRR13639990_2	(1.0, 38.28603492178493)	(2.0, 12.013435614065969)	(3.0, 5.791628461087524)	(4.0, 3.6222753494135307)	(5.0, 2.5624767689291406)	(6.0, 1.9771160517194002)	(7.0, 1.618817122273935)	(8.0, 1.3987472599376267)	(9.0, 1.198578995545307)	('>10', 13.818781019959097)	('>50', 4.246075090178578)	('>100', 7.361637440631001)	('>500', 2.0887310983382563)	('>1k', 2.6176803115189586)	('>5k', 0.6650394197977937)	('>10k+', 0.7329450748188565)
SRR13639992_1	(1.0, 35.826097119963904)	(2.0, 12.90790986555077)	(3.0, 6.568765241462506)	(4.0, 4.058032506938478)	(5.0, 2.9913757092202156)	(6.0, 2.209546990887815)	(7.0, 1.790813910823322)	(8.0, 1.4801968323021977)	(9.0, 1.2767359491247858)	('>10', 14.498680040036154)	('>50', 4.4045290900977)	('>100', 6.968745043982525)	('>500', 1.9840536326485227)	('>1k', 2.419168060770769)	('>5k', 0.24102510331636554)	('>10k+', 0.37432490287380044)
SRR13639992_2	(1.0, 35.853599416506654)	(2.0, 12.939166907383767)	(3.0, 6.6155272011208535)	(4.0, 4.140108750369224)	(5.0, 2.9900616383090504)	(6.0, 2.1972538511624737)	(7.0, 1.815553924138011)	(8.0, 1.5625734777585185)	(9.0, 1.2514334497230744)	('>10', 14.321228797382751)	('>50', 4.195024098170213)	('>100', 7.1179031424442885)	('>500', 1.9472015341069855)	('>1k', 2.1755825442029497)	('>5k', 0.4743442920668443)	('>10k+', 0.4034369751546916)
SRR13639993_1	(1.0, 29.90759974774473)	(2.0, 14.091527136910518)	(3.0, 7.109205614816629)	(4.0, 4.383834515719457)	(5.0, 3.0675019801341774)	(6.0, 2.341653026296328)	(7.0, 1.9161052523311812)	(8.0, 1.6050751931483402)	(9.0, 1.3723102723386202)	('>10', 16.199037969076933)	('>50', 5.112331942985638)	('>100', 8.74108843731929)	('>500', 2.119198689732161)	('>1k', 1.8841728257283)	('>5k', 0.14935739571790774)	('>10k+', 0.0)
SRR13639993_2	(1.0, 30.64943096524629)	(2.0, 13.971019828050407)	(3.0, 7.19738637731004)	(4.0, 4.396827852048364)	(5.0, 3.2000211573159674)	(6.0, 2.300861208751742)	(7.0, 1.9177511402413046)	(8.0, 1.582747310422674)	(9.0, 1.331659789775853)	('>10', 15.822465036363386)	('>50', 5.113121768250329)	('>100', 8.422803975950673)	('>500', 2.0091242488803855)	('>1k', 1.883494436023248)	('>5k', 0.20128490536917756)	('>10k+', 0.0)
SRR13639994_1	(1.0, 35.031645623118614)	(2.0, 11.413043709717973)	(3.0, 6.037146751246903)	(4.0, 3.8141145268537353)	(5.0, 2.925749285530841)	(6.0, 2.2323453312769557)	(7.0, 1.8150083137239506)	(8.0, 1.4705005170786463)	(9.0, 1.3483451938748594)	('>10', 14.949366652907944)	('>50', 4.394290891189921)	('>100', 7.376309894619913)	('>500', 2.2341020692609663)	('>1k', 3.563536728223171)	('>5k', 0.645100107362589)	('>10k+', 0.7493944040130652)
SRR13639994_2	(1.0, 34.48979459580238)	(2.0, 12.108006546055728)	(3.0, 5.975656356425061)	(4.0, 3.8652053699874873)	(5.0, 2.8867230791450655)	(6.0, 2.3181152942264234)	(7.0, 1.8439026141649593)	(8.0, 1.5391713305068964)	(9.0, 1.2881525882638272)	('>10', 15.008920547718748)	('>50', 4.260899997048047)	('>100', 7.282532972408028)	('>500', 2.093625522773684)	('>1k', 3.273410642445187)	('>5k', 0.8591965994589899)	('>10k+', 0.9066859435691413)
SRR13639995_1	(1.0, 42.140674067707906)	(2.0, 14.02896308896925)	(3.0, 6.531308676981659)	(4.0, 4.043031481813822)	(5.0, 2.830078620625004)	(6.0, 2.043241033545835)	(7.0, 1.6715399910092128)	(8.0, 1.3584673178157831)	(9.0, 1.1180025387925505)	('>10', 12.532099360654927)	('>50', 3.7459733226201775)	('>100', 5.855504507419728)	('>500', 1.1776196701357378)	('>1k', 0.8920824655865726)	('>5k', 0.031413856322056205)	('>10k+', 0.0)
SRR13639995_2	(1.0, 42.66981373948415)	(2.0, 14.090943606294026)	(3.0, 6.476824373185503)	(4.0, 4.016394179117939)	(5.0, 2.6780186781762394)	(6.0, 2.0983176978258316)	(7.0, 1.6863642549292)	(8.0, 1.351122238894764)	(9.0, 1.1076850793018687)	('>10', 12.251412564884943)	('>50', 3.6448419774003558)	('>100', 5.806582552866104)	('>500', 1.1726636827283154)	('>1k', 0.949015374910675)	('>5k', 0.0)	('>10k+', 0.0)
