Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRR13639990_1	SRR13639990_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20087749.0	3 Gbp	0.0	150.0	48.0	49.31174138599496	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass	
SRR13639990_2	SRR13639990_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20087749.0	3 Gbp	0.0	150.0	48.0	49.36466197197462	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	
SRR13639992_1	SRR13639992_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20115520.0	3 Gbp	0.0	150.0	48.0	47.930986002540976	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass	
SRR13639992_2	SRR13639992_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20115520.0	3 Gbp	0.0	150.0	48.0	48.00909146051248	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	
SRR13639993_1	SRR13639993_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20577041.0	3 Gbp	0.0	150.0	48.0	43.04710096204671	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	
SRR13639993_2	SRR13639993_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20577041.0	3 Gbp	0.0	150.0	48.0	43.75589764000364	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	
SRR13639994_1	SRR13639994_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20509447.0	3 Gbp	0.0	150.0	49.0	46.17594272195339	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass	
SRR13639994_2	SRR13639994_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20509447.0	3 Gbp	0.0	150.0	49.0	45.98776587826204	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass	
SRR13639995_1	SRR13639995_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20258782.0	3 Gbp	0.0	150.0	47.0	54.554750048265376	150.0	150	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass	
SRR13639995_2	SRR13639995_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20258782.0	3 Gbp	0.0	150.0	47.0	55.05473042207443	150.0	150	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass	
SRR13639999_1	SRR13639999_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20743927.0	3.1 Gbp	0.0	150.0	48.0	48.641981041130364	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	
SRR13639999_2	SRR13639999_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20743927.0	3.1 Gbp	0.0	150.0	48.0	49.407112650367566	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	
SRR13640002_1	SRR13640002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20800812.0	3.1 Gbp	0.0	150.0	48.0	50.29844450334887	150.0	150	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass	
SRR13640004_2	SRR13640004_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20348352.0	3 Gbp	0.0	150.0	48.0	49.216460982355976	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	
SRR19173185_1	SRR19173185_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19445976.0	2.9 Gbp	0.0	150.0	49.0	38.48824026127246	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	pass	warn	pass
SRR19173191_1	SRR19173191_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16586303.0	2.4 Gbp	0.0	150.0	47.0	44.83944170330155	150.0	150	pass	pass	pass	fail	warn	pass	pass	fail	pass	warn	pass
SRR19173211_1	SRR19173211_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20337339.0	3 Gbp	0.0	150.0	47.0	49.62630370153493	150.0	150	pass	pass	pass	fail	pass	pass	pass	fail	pass	warn	pass
SRR19173211_2	SRR19173211_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20337339.0	3 Gbp	0.0	150.0	48.0	51.49305856166332	150.0	150	pass	pass	pass	fail	pass	pass	pass	warn	pass	warn	pass
SRR19173215_1	SRR19173215_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17118168.0	2.5 Gbp	0.0	150.0	48.0	58.06773715872372	150.0	150	pass	pass	pass	fail	warn	pass	pass	warn	pass	fail	pass
