Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR13639990_1	50.68825861400504	48.0	150.0	150	20.0	20.087749
SRR13639990_2	50.63533802802538	48.0	150.0	150	20.0	20.087749
SRR13639992_1	52.069013997459024	48.0	150.0	150	20.0	20.11552
SRR13639992_2	51.99090853948752	48.0	150.0	150	20.0	20.11552
SRR13639993_1	56.95289903795329	48.0	150.0	150	20.0	20.577040999999998
SRR13639993_2	56.24410235999636	48.0	150.0	150	20.0	20.577040999999998
SRR13639994_1	53.82405727804661	49.0	150.0	150	20.0	20.509446999999998
SRR13639994_2	54.01223412173796	49.0	150.0	150	20.0	20.509446999999998
SRR13639995_1	45.445249951734624	47.0	150.0	150	10.0	20.258782
SRR13639995_2	44.94526957792557	47.0	150.0	150	10.0	20.258782
SRR13639999_1	51.358018958869636	48.0	150.0	150	20.0	20.743927
SRR13639999_2	50.592887349632434	48.0	150.0	150	20.0	20.743927
SRR13640002_1	49.70155549665113	48.0	150.0	150	10.0	20.800812
SRR13640004_2	50.783539017644024	48.0	150.0	150	20.0	20.348352
SRR19173185_1	61.51175973872754	49.0	150.0	150	18.181818181818183	19.445975999999998
SRR19173191_1	55.16055829669845	47.0	150.0	150	18.181818181818183	16.586303
SRR19173211_1	50.37369629846507	47.0	150.0	150	18.181818181818183	20.337339
SRR19173211_2	48.50694143833668	48.0	150.0	150	9.090909090909092	20.337339
SRR19173215_1	41.93226284127628	48.0	150.0	150	18.181818181818183	17.118168
SRR19173215_2	36.78247575598829	48.0	150.0	150	18.181818181818183	17.118168
SRR19173217_1	47.8494367155608	48.0	150.0	150	18.181818181818183	21.220330999999998
SRR19173217_2	40.81211110987202	48.0	150.0	150	9.090909090909092	21.220330999999998
SRR19173231_2	45.06743968939072	47.0	150.0	150	9.090909090909092	16.566586
SRR19173232_1	52.37105203539228	48.0	150.0	150	18.181818181818183	13.735629
SRR19173243_1	60.393391477984174	48.0	150.0	150	18.181818181818183	20.02215
SRR19173243_2	58.44920590406784	48.0	150.0	150	18.181818181818183	20.02215
